Total Analyzed: 520
----------------------------------------------------------------------------------------------------
Rank | Name            | Code     | Score  | Prof  | Stab  | Cap   | Imp   | Acc  
200  | 현대모비스           | 012330   |   61.7 |  -0.2 |   0.4 |   0.0 |  -0.1 |  -0.1
201  | 에스엘             | 005850   |   61.5 |   0.0 |   0.2 |  -0.0 |  -0.1 |  -0.1
202  | 현대글로비스          | 086280   |   61.3 |   0.0 |   0.3 |  -0.1 |  -0.1 |  -0.3
203  | HDC랩스           | 039570   |   61.2 |  -0.4 |   0.5 |  -0.1 |   0.2 |   0.1
204  | 현대지에프홀딩스        | 005440   |   61.0 |  -0.0 |   0.2 |   0.0 |  -0.0 |  -0.3
205  | 대주전자재료          | 078600   |   60.8 |   0.2 |   0.2 |  -0.4 |  -0.1 |  -0.1
206  | 포스코DX           | 022100   |   60.6 |   0.1 |   0.1 |   0.1 |  -0.3 |  -0.0
207  | 와이씨             | 232140   |   60.4 |  -0.4 |   0.3 |   0.3 |  -0.1 |   0.1
208  | 동아쏘시오홀딩스        | 000640   |   60.2 |   0.1 |   0.2 |  -0.2 |  -0.0 |  -0.0
209  | 기아              | 000270   |   60.0 |   0.2 |   0.2 |  -0.1 |  -0.1 |  -0.4
210  | STX엔진           | 077970   |   59.8 |   0.2 |   0.1 |  -0.4 |   0.0 |   0.0
211  | 지역난방공사          | 071320   |   59.6 |   0.1 |   0.3 |  -0.4 |   0.1 |   0.1
212  | 미래에셋생명          | 085620   |   59.4 |  -0.4 |   0.2 |   0.4 |  -0.1 |   0.1
213  | 씨아이에스           | 222080   |   59.2 |   0.0 |   0.0 |   0.2 |  -0.2 |   0.0
214  | 메리츠금융지주         | 138040   |   59.0 |   0.1 |  -0.2 |   0.3 |  -0.1 |   0.0
215  | 삼성전기            | 009150   |   58.8 |  -0.1 |   0.3 |   0.0 |  -0.1 |  -0.2
216  | 대성에너지           | 117580   |   58.7 |  -0.3 |   0.5 |  -0.2 |   0.1 |   0.0
217  | 케이씨             | 029460   |   58.5 |   0.0 |  -0.2 |   0.3 |   0.0 |  -0.1
218  | RFHIC           | 218410   |   58.3 |   0.0 |  -0.1 |   0.2 |   0.1 |  -0.1
219  | DB              | 012030   |   58.1 |   0.1 |   0.2 |  -0.3 |  -0.0 |  -0.2
220  | 일진전기            | 103590   |   57.9 |   0.0 |   0.2 |  -0.3 |   0.1 |  -0.0
221  | 이리츠코크렙          | 088260   |   57.7 |  -0.2 |   0.4 |  -0.1 |  -0.1 |   0.0
222  | 씨에스윈드           | 112610   |   57.5 |   0.1 |   0.2 |  -0.3 |  -0.1 |   0.0
223  | 한국전력            | 015760   |   57.3 |   0.2 |   0.0 |  -0.3 |   0.0 |   0.1
224  | 고려제강            | 002240   |   57.1 |  -0.6 |   0.6 |   0.1 |   0.0 |   0.0
225  | 환인제약            | 016580   |   56.9 |  -0.2 |  -0.0 |   0.6 |  -0.2 |  -0.2
226  | 제이에스코퍼레이션       | 194370   |   56.7 |   0.1 |   0.3 |  -0.4 |  -0.1 |  -0.1
227  | 휴온스글로벌          | 084110   |   56.5 |  -0.1 |   0.2 |   0.0 |  -0.2 |  -0.1
228  | LG              | 003550   |   56.3 |  -0.2 |   0.1 |   0.3 |  -0.1 |  -0.2
229  | KPX케미칼          | 025000   |   56.2 |  -0.2 |   0.2 |   0.2 |  -0.2 |  -0.2
230  | 미래에셋증권          | 006800   |   56.0 |  -0.3 |   0.1 |   0.2 |  -0.0 |  -0.0
231  | 하이트진로           | 000080   |   55.8 |   0.1 |   0.2 |  -0.4 |  -0.1 |   0.0
232  | 삼성E&A           | 028050   |   55.6 |   0.1 |   0.2 |  -0.2 |  -0.2 |   0.0
233  | 세방전지            | 004490   |   55.4 |  -0.1 |   0.2 |   0.1 |  -0.1 |  -0.1
234  | 인화정공            | 101930   |   55.2 |  -0.2 |   0.3 |   0.0 |   0.0 |  -0.4
235  | 네오위즈            | 095660   |   55.0 |  -0.2 |  -0.1 |   0.4 |   0.1 |  -0.2
236  | 하이트진로홀딩스        | 000140   |   54.8 |   0.1 |   0.2 |  -0.4 |  -0.1 |   0.0
237  | 에스피지            | 058610   |   54.6 |  -0.4 |   0.5 |  -0.0 |  -0.2 |   0.0
238  | 제주반도체           | 080220   |   54.4 |  -0.2 |   0.1 |   0.2 |  -0.1 |  -0.2
239  | TKG휴켐스          | 069260   |   54.2 |  -0.3 |   0.2 |   0.1 |  -0.2 |   0.0
240  | 코스맥스            | 192820   |   54.0 |  -0.1 |   0.3 |  -0.4 |  -0.1 |   0.0
241  | KPX홀딩스          | 092230   |   53.8 |  -0.2 |   0.3 |   0.1 |  -0.1 |  -0.5
242  | 일양약품            | 007570   |   53.7 |  -0.0 |   0.2 |  -0.2 |  -0.1 |   0.0
243  | 한국금융지주          | 071050   |   53.5 |  -0.1 |  -0.1 |   0.2 |  -0.0 |  -0.1
244  | 현대홈쇼핑           | 057050   |   53.3 |  -0.2 |   0.1 |   0.1 |  -0.2 |  -0.0
245  | 키움증권            | 039490   |   53.1 |  -0.1 |  -0.2 |   0.2 |  -0.1 |   0.0
246  | 넥센타이어           | 002350   |   52.9 |  -0.2 |   0.3 |  -0.3 |  -0.1 |   0.0
247  | 하나금융지주          | 086790   |   52.7 |  -0.3 |  -0.2 |   0.5 |  -0.1 |   0.0
248  | 농심홀딩스           | 072710   |   52.5 |  -0.1 |   0.2 |  -0.1 |  -0.1 |  -0.2
249  | 성우하이텍           | 015750   |   52.3 |  -0.4 |   0.6 |  -0.3 |  -0.1 |  -0.0
250  | 화신              | 010690   |   52.1 |  -0.2 |   0.4 |  -0.3 |  -0.0 |  -0.0
251  | 현대오토에버          | 307950   |   51.9 |  -0.2 |   0.4 |  -0.1 |  -0.1 |  -0.5
252  | 동원산업            | 006040   |   51.7 |  -0.2 |   0.1 |  -0.3 |   0.2 |  -0.0
253  | 롯데정밀화학          | 004000   |   51.5 |  -0.6 |   0.2 |   0.5 |  -0.1 |   0.0
