Code,Is_Financial,ROE,ROA,ROIC,Operating_Margin,Gross_Margin,Revenue_Stability,OpProfit_Stability,NetIncome_Stability,EPS_Stability,Dividend_Stability,Debt_Ratio,Interest_Coverage,Current_Ratio,Equity_Ratio,ROE_Improvement,ROA_Improvement,Operating_Margin_Improvement,Gross_Margin_Improvement,Accruals,Net_Operating_Assets,Earnings_Smoothness
280360,False,2.7084753465121563,1.3789593021910644,1.858471576317068,2.6196066921044907,28.111241561491045,2.0022501640754515,1.0161890192203444,1.2735939685270778,0,0,96.41445126107703,1.2060810810810811,151.69295478443743,50.91275074616506,-34.7,0,-49.6,2.2,2.056951423785595,1.0,0.17220985866750851
006120,False,2.366406427651027,1.0095261500255452,2.130758982849161,4.359345850037709,13.884809272416943,2.0044076107968904,1.02594805104094,0.46928747654250236,0,0,134.40915637080272,0.6142337807606264,149.48978225352866,42.660725487786735,97.1,0,266.6,16.0,2.7554417413572345,1.000006467175849,0.2464934049629086
192080,False,13.394933685335344,12.013755778554517,9.674691323222643,33.85116141441041,,1.9567548553556426,1.7776372688687434,1.6542108702000398,0,0,11.49035137343642,14.036809815950921,1065.1041666666665,89.68880369827488,-21.7,0,-10.6,8.9,0.10412757973733583,0.9999436238583831,1.2872822824342889
120110,False,2.7524315652261104,1.4261221945137157,1.3140975685785536,2.714831958140471,26.13201851479171,1.9418600578482488,1.6319319630410847,1.939129161473642,0,0,93.0011029780407,1.1260434056761268,116.09174142236198,51.813175394846226,-4.0,0,-19.4,3.6,2.434030937215651,1.0,0.29089749337958626
003530,True,2.6996688555873605,0.32655555178383516,0.43076818629281377,,,0.0,0.05645317850222004,1.2714337562303235,0,0,726.710445080541,,,12.096133609423267,16.0,0,1857.3,0.0,6.759336099585062,1.0,0.034978126545508526
009240,False,33.36734693877551,12.373474600321636,1.4118815627660581,1.077247875277432,23.823959291939588,1.862117966641296,0.8239470686605528,1.3104488561114878,0,0,169.66836734693877,1.0418848167539267,118.54319342660449,37.082584429098475,-32.7,0,-56.7,-6.3,1.0656990068754775,1.0,1.3971364890957298
317450,False,,,35.2,,,1.9571568175713787,1.8640214869064033,1.9327059583239234,0,0,5.80536477905922,381.9,1426.1176470588236,94.51316595223514,5.6,0,-3.1,6.9,0.0,1.0,2.5493167131382823
005300,False,3.581037796284433,1.287099076696369,3.0272852866682016,4.3980029604355355,33.65112019870042,1.9372286056636634,1.7898689171204392,1.756200284459966,0,0,178.21909032671363,2.124848484848485,70.01491795126803,35.94206902903456,-13.8,0,-9.9,-1.9,4.014285714285714,0.9999769749717944,0.3408314156306461
229640,False,22.445170321978537,10.438368055555555,10.009765625,6.512071156289707,9.83693350275307,1.9844011545296856,1.85293112035247,1.900540799295161,0,0,115.02566495566961,9.761904761904763,151.8918918918919,46.50607638888889,40.0,0,45.2,11.9,0.42946058091286304,1.0,0.8434792987926766
082640,True,14.530795344325897,0.6730442546954454,0.5679600609867385,,,0.0,1.0152921302248763,1.049880038638958,0,0,2058.9658098933073,,,4.63184731975639,-47.5,0,-49.6,0.0,1.6117597998331943,1.0,0.18831632138470453
075580,False,17.469204927211646,7.295401402961808,7.225253312548714,15.512048192771086,21.460843373493976,2.0560335773301817,1.6384657374515803,0.08969368626906679,0,0,139.45502053004853,4.904761904761905,76.69305189094108,41.76149649259548,,0,201.3,19.1,0.44136460554371004,1.0,1.3732281179443433
030610,True,7.197132616487455,0.836350711953262,0.7351389475087189,,,0.0,1.8131967717895958,2.1926125226439286,0,0,760.5400238948625,,,11.620609991780881,45.2,0,83.3,0.0,1.8533510285335102,1.0,0.05391487525556865
012630,False,7.7244063546715065,3.149630330451767,3.4872542212523747,8.79796725666272,15.11275373198972,1.9973271132809498,1.407278451629305,1.6937779431762527,0,0,145.24803053835072,3.248400852878465,146.56414210067155,40.77504711474634,106.3,0,104.8,16.2,0.5131993218697021,1.0,0.16066429235042448
030190,False,18.908210433634164,13.85483870967742,12.375,17.300862506341957,,1.9986276249273054,2.0373090704886496,2.054193861137556,0,0,36.4736957957297,93.0,200.5685856432125,73.2741935483871,16.4,0,24.0,14.5,0.4255813953488372,1.0,5.589501795602673
192400,False,11.01405542761852,9.136420525657071,5.696265068177326,12.6273135472566,40.52130106231519,2.005883702200449,2.14113223617554,1.9698312132833273,0,0,20.55109981735885,18.015625,594.4903581267217,82.9523746788749,2.1,0,18.1,13.3,0.6714697406340058,1.0,1.5942704141956043
001740,False,-0.4102412020561487,-0.1583757894937699,1.6972923464422691,1.7004803211699764,12.613090544125027,1.769129982243156,2.00407401066564,0.9088429341976454,0,0,159.03024911032028,0.7311960542540074,94.84359839208982,38.60552979563799,-58.2,0,6.0,-11.8,20.5,1.0,0.1479881557211149
001430,False,0.22136422136422138,0.11046317466026152,0.6280987489403242,0.9006022432178573,6.699265152770871,1.8898184892279348,1.2081881425035876,0.7798678660125119,0,0,100.3963963963964,0.3438818565400844,182.13950578667502,49.90109692501349,-22.0,0,-18.1,-0.6,28.90909090909091,1.0,0.2717103982627372
005690,False,,,43.0,,,,,,0,0,,,,,1030.7,0,1531.1,83.1,0.0,,
298020,False,7.051875868457619,2.242970001657367,3.600629799458593,3.3613120334197193,8.035173222965742,1.9591712828579013,1.8619260813125342,0.8535729992230738,0,0,214.39902732746643,0.7484926787252368,80.48458149779736,31.806714177853895,-63.0,0,-6.2,-0.5,3.2477440525020507,1.0,0.34848632136761426
499790,False,,,3.6,,,,,,0,0,86.66988261778421,3.5,23.762376237623762,53.57050564217417,,0,,,0.0,1.0,
036530,False,10.093114642063899,7.329631812401129,6.188157200905735,12.647394446557628,19.45131228604032,2.032791599597924,2.010620879869656,1.8523546489480656,0,0,37.70288740816675,6.855670103092783,360.10776985920387,72.62011849002761,-4.7,0,20.7,22.4,0.19416243654822335,1.0,2.5912341003289567
003240,False,4.069520983467571,3.4944970236820696,-1.1032718084878592,-3.608572329026158,7.64786217039605,1.744079509822816,0.9754598083918233,0.9225333954468629,0,0,16.455128045283395,-0.46014735432016074,652.0828073718758,85.86998415485418,-54.4,0,,-13.3,0.4800979791794244,1.0,0.5850715942962664
298050,False,2.9001883239171375,0.7981549146129726,3.3389479139673486,5.20274976530087,11.244359649919748,1.8986469904483383,1.4924755673170773,0.2959968344120302,0,0,263.3709981167608,1.2056140350877194,57.45345897494829,27.520796081784965,,0,-27.3,-0.4,8.385113268608414,1.0000259141206043,0.49750195804920316
114090,False,12.004504504504505,8.218966846569005,6.823438704703161,13.846514902605023,21.262614409762968,1.9816853831639225,1.6711818025537317,1.6741817201174547,0,0,46.05855855855856,16.857142857142858,257.6410906785035,68.4656900539707,73.1,0,62.7,10.2,0.9700374531835206,1.0,1.0232617491256342
